SampleID,Source,reads_ChloroplastExcluded,richness,shannon_e
L_CMX20210804_019,Larva,11064,486,4.07
L_CMX20210804_021,Larva,25631,438,2.25
L_CMX20210804_025,Larva,43957,509,4.04
L_CMX20210804_027,Larva,39592,705,4.3
L_CMX20210804_028,Larva,5473,193,2.14
L_CMX20210804_030,Larva,5135,94,0.798
L_CMX20210804_032,Larva,12353,375,2.1
L_CMX20210804_047,Larva,8828,87,0.532
L_MFS20210910_001,Larva,1294,17,0.306
L_MFS20210910_031,Larva,2176,88,1.82
L_MFS20210910_033,Larva,13235,22,1.3
L_MFS20210911_001,Larva,31585,144,0.983
L_MFS20210911_002,Larva,8680,123,2.08
L_MFS20210911_003,Larva,2121,44,0.583
L_MFS20210911_005,Larva,10361,139,0.653
L_MFS20210911_006,Larva,17428,165,0.928
L_MFS20210911_007,Larva,8280,56,0.649
L_MFS20210911_008,Larva,6297,161,1.34
L_MFS20210911_011,Larva,43402,161,0.836
L_MFS20210911_014,Larva,2556,73,1.07
L_MFS20210911_017,Larva,11530,95,3.3
L_MFS20210911_018,Larva,6255,79,0.609
L_MFS20210911_019,Larva,43243,149,0.852
L_MFS20210911_020,Larva,50247,244,2.03
L_MFS20210911_025,Larva,14301,166,1.97
L_MFS20210911_030,Larva,48466,373,1.82
L_SLX20210913_001,Larva,33523,113,0.636
L_SLX20210913_002,Larva,14191,601,1.76
L_SLX20210913_003,Larva,1607,30,0.653
L_SLX20210913_004,Larva,2626,19,0.166
L_SLX20210913_005,Larva,39042,185,1.06
L_SLX20210913_006,Larva,5014,42,0.383
L_SLX20210913_007,Larva,5626,92,1.54
L_SLX20210913_009,Larva,1117,46,1.16
L_SLX20210913_011,Larva,5560,133,2.92
L_SLX20210913_012,Larva,27072,531,4.46
L_SLX20210913_016,Larva,45286,460,3.5
L_SLX20210913_017,Larva,24982,133,1.08
L_SLX20210913_019,Larva,16920,12,0.459
L_SLX20210913_020,Larva,16638,36,0.592
L_SLX20210913_027,Larva,1626,44,0.847
L_SLX20210913_028,Larva,42720,138,0.506
L_SLX20210913_029,Larva,7715,123,2.02
L_SLX20210913_030,Larva,6630,105,1.66
L_SLX20210913_031,Larva,1441,81,2.14
L_SLX20210913_032,Larva,4426,133,2.39
L_SLX20210913_037,Larva,33131,149,0.614
L_SLX20210913_042,Larva,2893,48,0.781
L_SLX20210913_043,Larva,37986,312,1.71
L_SLX20210914_002,Larva,1140,47,1.04
L_SLX20210914_005,Larva,30366,252,3.29
L_SLX20210914_006,Larva,30063,680,4.11
L_SLX20210914_009,Larva,10758,160,2.8
L_SLX20210914_011,Larva,8723,146,2.17
L_SLX20210914_012,Larva,3707,78,1.77
L_SLX20210914_013,Larva,12704,137,1.53
L_SLX20210914_016,Larva,21331,190,2.08
L_SLX20210914_017,Larva,17246,166,3.05
L_SLX20210914_018,Larva,27841,150,2.39
L_SLX20210914_027,Larva,4891,195,1.14
