OTU_ID,Occurrence_of_OTU_in_plant_samples(%),Average_relative_OTU_content_in_plant_samples(%),Occurrence_of_OTU_in_soil_samples(%),Average_relative_OTU_content_in_soil_samples(%),Log10_Average_relative_OTU_content_in_plant_samples,Log10_Average_relative_OTU_content_in_soil_samples
OTU_1322,2.564102564,0.014958863,6.451612903,0.022182925,-1.825101415,-1.653981199
OTU_1323,0,0,61.29032258,0.006364377,NA,-2.196244102
OTU_1324,0,0,48.38709677,0.109279271,NA,-0.961462211
OTU_1325,0,0,3.225806452,0.002497565,NA,-2.6024832
OTU_1326,0,0,54.83870968,0.005514159,NA,-2.258520724
OTU_1328,5.128205128,0.012632571,100,0.054249557,-1.898508252,-1.265603806
OTU_1329,0,0,100,0.09876638,NA,-1.005390862
OTU_133,2.564102564,0.007378985,0,0,-2.132003372,NA
OTU_1330,0,0,32.25806452,0.004704161,NA,-2.327517795
OTU_1331,0,0,45.16129032,0.007858271,NA,-2.104672982
OTU_1333,0,0,12.90322581,0.003065193,NA,-2.513542175
OTU_1334,0,0,25.80645161,0.00851758,NA,-2.06968376
OTU_1335,2.564102564,0.003135681,90.32258065,0.05139333,-2.503668126,-1.289093238
OTU_1336,41.02564103,0.048464973,19.35483871,0.00354237,-1.314572024,-2.450706058
OTU_1337,2.564102564,0.005246039,87.09677419,0.023255195,-2.280168485,-1.633480008
OTU_1338,0,0,67.74193548,0.05411333,NA,-1.266695741
OTU_134,74.35897436,0.730699488,25.80645161,0.003706522,-0.136261197,-2.431033374
OTU_1341,2.564102564,0.010265886,100,0.027083468,-1.988603563,-1.567295732
OTU_1342,0,0,25.80645161,0.006910268,NA,-2.160505086
OTU_1343,0,0,90.32258065,0.064618972,NA,-1.189639952
OTU_1344,0,0,3.225806452,0.004392033,NA,-2.357334405
OTU_1345,20.51282051,0.050690194,6.451612903,0.004120526,-1.295076049,-2.385047341
OTU_1346,0,0,35.48387097,0.006432043,NA,-2.191651085
OTU_1347,58.97435897,0.307660225,22.58064516,0.002543497,-0.511928646,-2.594568843
OTU_1348,0,0,51.61290323,0.010178985,NA,-1.992295512
OTU_135,69.23076923,0.112498372,6.451612903,0.001281492,-0.948853761,-2.892284101
OTU_1350,10.25641026,0.006740315,80.64516129,0.006373665,-2.171319839,-2.195610748
OTU_1351,0,0,0,0,NA,NA
OTU_1354,0,0,19.35483871,0.002931698,NA,-2.532880794
OTU_1356,0,0,83.87096774,0.053233659,NA,-1.273813685
OTU_1358,2.564102564,0.010265886,67.74193548,0.031985702,-1.988603563,-1.495044117
OTU_1359,53.84615385,0.047015417,3.225806452,0.00249975,-1.327759707,-2.602103423
OTU_136,0,0,0,0,NA,NA
OTU_1360,2.564102564,0.007390437,70.96774194,0.004440647,-2.131329881,-2.352553727
OTU_1361,0,0,45.16129032,0.077917127,NA,-1.108367071
OTU_1362,0,0,64.51612903,0.015043383,NA,-1.822654474
OTU_1363,0,0,93.5483871,0.038684491,NA,-1.412463112
OTU_1364,2.564102564,0.004245563,100,0.025570648,-2.37206471,-1.592258269
OTU_1365,10.25641026,0.017128561,54.83870968,0.009223604,-1.766279115,-2.035099348
OTU_1366,2.564102564,0.009407043,0,0,-2.026546871,NA
OTU_1367,2.564102564,0.003468609,67.74193548,0.0747267,-2.459844653,-1.126524196
OTU_1368,0,0,32.25806452,0.005285211,NA,-2.276937645
OTU_137,58.97435897,1.163565488,38.70967742,0.003848804,0.065790831,-2.414674195
OTU_1370,0,0,70.96774194,0.011637618,NA,-1.934135919
OTU_1371,5.128205128,0.019828121,25.80645161,0.00356294,-1.70271845,-2.448191537
OTU_1374,0,0,35.48387097,0.029081859,NA,-1.536377838
OTU_1376,10.25641026,0.132716187,0,0,-0.877076104,NA
OTU_1377,0,0,0,0,NA,NA
OTU_1378,0,0,58.06451613,0.050852762,NA,-1.293685452
OTU_1379,7.692307692,0.021495236,0,0,-1.667657789,NA
OTU_138,28.20512821,0.032476482,0,0,-1.488431016,NA
OTU_1381,0,0,54.83870968,0.075539734,NA,-1.121824547
OTU_1382,0,0,100,0.048378695,NA,-1.315345855
OTU_1384,5.128205128,0.016834397,25.80645161,0.007114962,-1.773802448,-2.147827407
OTU_1385,2.564102564,0.040346984,0,0,-1.394188924,NA
OTU_1386,20.51282051,0.020095059,6.451612903,0.001848718,-1.696910714,-2.733129448
OTU_1388,46.15384615,0.035302231,74.19354839,0.00760713,-1.452197843,-2.118779145
OTU_1389,0,0,61.29032258,0.058813462,NA,-1.230523259
