OTU_ID,Occurrence_of_OTU_in_plant_samples(%),Average_relative_OTU_content_in_plant_samples(%),Occurrence_of_OTU_in_soil_samples(%),Average_relative_OTU_content_in_soil_samples(%),Log10_Average_relative_OTU_content_in_plant_samples,Log10_Average_relative_OTU_content_in_soil_samples
OTU_1206,0,0,50,0.014726827,NA,-1.83189082
OTU_1207,3.333333333,0.052056221,0,0,-1.283527363,NA
OTU_1208,46.66666667,0.155022433,0,0,-0.809605451,NA
OTU_1209,3.333333333,0.001903276,95.45454545,0.063974789,-2.720498229,-1.193991135
OTU_121,13.33333333,0.024380759,0,0,-1.612952783,NA
OTU_1210,0,0,36.36363636,0.008033464,NA,-2.095097128
OTU_1211,3.333333333,0.01525553,90.90909091,0.020650754,-1.8165727,-1.685064087
OTU_1212,0,0,95.45454545,0.099864983,NA,-1.000586766
OTU_1213,63.33333333,0.110275745,0,0,-0.957520001,NA
OTU_1214,3.333333333,0.007369468,81.81818182,0.017579089,-2.132563863,-1.755003631
OTU_1215,0,0,59.09090909,0.008448883,NA,-2.073200704
OTU_1216,0,0,4.545454545,0.013597672,NA,-1.866535439
OTU_1217,0,0,68.18181818,0.009384352,NA,-2.027595714
OTU_1218,3.333333333,0.094127869,0,0,-1.026281773,NA
OTU_1219,0,0,100,0.051020524,NA,-1.292255088
OTU_122,13.33333333,0.023085617,13.63636364,0.012128203,-1.636658514,-1.916203554
OTU_1220,13.33333333,0.103929187,100,0.025083797,-0.98326247,-1.600606725
OTU_1221,3.333333333,0.003460088,72.72727273,0.041715808,-2.460912856,-1.379699338
OTU_1222,0,0,40.90909091,0.018655184,NA,-1.729200468
OTU_1223,0,0,86.36363636,0.043860554,NA,-1.357925889
OTU_1224,0,0,0,0,NA,NA
OTU_1226,10,0.003817956,100,0.114412199,-2.418169043,-0.941527669
OTU_1227,3.333333333,0.007240605,100,0.05413603,-2.140225144,-1.266513594
OTU_1228,16.66666667,0.038489855,0,0,-1.41465372,NA
OTU_123,30,5.75782009,0,0,0.760258091,NA
OTU_1230,3.333333333,0.014481211,86.36363636,0.022466744,-1.839195118,-1.648459858
OTU_1231,0,0,0,0,NA,NA
OTU_1232,6.666666667,0.005464112,95.45454545,0.026442575,-2.262480407,-1.577696262
OTU_1233,0,0,0,0,NA,NA
OTU_1235,3.333333333,0.011054202,0,0,-1.956472604,NA
OTU_1236,0,0,0,0,NA,NA
OTU_1238,3.333333333,0.001903276,100,0.106277088,-2.720498229,-0.973560355
OTU_1239,60,0.079098209,0,0,-1.101833351,NA
OTU_124,16.66666667,0.006673139,63.63636364,0.073254285,-2.175669803,-1.135166968
OTU_1240,0,0,4.545454545,0.017212691,NA,-1.764151228
OTU_1241,13.33333333,0.04303173,0,0,-1.366211191,NA
OTU_1242,0,0,59.09090909,0.019420845,NA,-1.711731883
OTU_1243,0,0,72.72727273,0.013184671,NA,-1.879930707
OTU_1244,3.333333333,0.024691358,0,0,-1.607455024,NA
OTU_1245,0,0,18.18181818,0.003241517,NA,-2.489251696
OTU_1246,0,0,0,0,NA,NA
OTU_1247,0,0,0,0,NA,NA
OTU_1248,0,0,0,0,NA,NA
OTU_1249,10,0.002565402,4.545454545,0.00281587,-2.590844571,-2.550387399
OTU_125,46.66666667,0.055348875,4.545454545,0.002313904,-1.256891204,-2.635654663
OTU_1251,3.333333333,1.511043954,4.545454545,0.004627809,0.179277097,-2.334624574
OTU_1252,6.666666667,0.026979749,100,0.078884508,-1.568962103,-1.10300828
OTU_1254,16.66666667,0.035873852,100,0.022256289,-1.44522199,-1.652547249
OTU_1255,0,0,13.63636364,0.005564661,NA,-2.254561262
OTU_1256,6.666666667,0.013297317,95.45454545,0.164950148,-1.876235978,-0.782647289
OTU_1257,50,0.043803942,22.72727273,0.003236628,-1.358486802,-2.489907186
OTU_1258,0,0,0,0,NA,NA
OTU_1259,0,0,0,0,NA,NA
OTU_126,0,0,95.45454545,0.099510757,NA,-1.002129972
OTU_1260,0,0,63.63636364,0.012684397,NA,-1.896730181
OTU_1261,3.333333333,0.251019768,95.45454545,0.067463023,-0.600292076,-1.170934199
OTU_1262,0,0,9.090909091,0.008993844,NA,-2.046054674
OTU_1263,0,0,0,0,NA,NA
OTU_1264,0,0,68.18181818,0.021002363,NA,-1.677731848
OTU_1265,0,0,22.72727273,0.00934767,NA,-2.029296619
OTU_1266,23.33333333,0.017480798,4.545454545,0.006360109,-1.757438756,-2.196535441
OTU_1267,0,0,77.27272727,0.151520155,NA,-0.819529594
OTU_1268,3.333333333,0.001903276,40.90909091,0.019610933,-2.720498229,-1.707501737
OTU_1269,0,0,68.18181818,0.01094554,NA,-1.960762808
OTU_127,83.33333333,0.590699439,0,0,-0.228633442,NA
OTU_1272,0,0,31.81818182,0.014989457,NA,-1.824214112
OTU_1273,0,0,4.545454545,0.008847992,NA,-2.053155279
OTU_1275,56.66666667,0.02106325,63.63636364,0.006758187,-1.676474615,-2.170169823
OTU_1276,0,0,81.81818182,0.029375837,NA,-1.53200975
