OTU_ID,Occurrence_of_OTU_in_plant_samples(%),Average_relative_OTU_content_in_plant_samples(%),Occurrence_of_OTU_in_soil_samples(%),Average_relative_OTU_content_in_soil_samples(%),Log10_Average_relative_OTU_content_in_plant_samples,Log10_Average_relative_OTU_content_in_soil_samples
OTU_122,26.02739726,0.270416345,3.773584906,0.00540295,-0.567967062,-2.267369092
OTU_1220,5.479452055,0.022656618,92.45283019,0.027050806,-1.644804922,-1.567819793
OTU_1221,0,0,84.90566038,0.082564894,NA,-1.083204574
OTU_1222,0,0,15.09433962,0.011652498,NA,-1.933580963
OTU_1223,0,0,24.52830189,0.011560804,NA,-1.937011967
OTU_1224,0,0,1.886792453,0.003343252,NA,-2.475830887
OTU_1226,0,0,41.50943396,0.012251977,NA,-1.911793843
OTU_1227,1.369863014,0.002690125,92.45283019,0.034124041,-2.570227539,-1.466939547
OTU_1228,32.87671233,0.226256746,0,0,-0.645398463,NA
OTU_123,5.479452055,19.13695084,0,0,1.281872741,NA
OTU_1230,1.369863014,0.001944012,56.60377358,0.121486891,-2.711301059,-0.91547058
OTU_1231,1.369863014,0.009019572,5.660377358,0.143867446,-2.04481407,-0.842037466
OTU_1232,0,0,100,0.099563971,NA,-1.001897788
OTU_1233,0,0,22.64150943,0.00396296,NA,-2.401980302
OTU_1235,2.739726027,0.019028219,9.433962264,0.004172874,-1.720601859,-2.379564729
OTU_1236,0,0,28.30188679,0.030143003,NA,-1.520813488
OTU_1238,0,0,88.67924528,0.024910435,NA,-1.603618692
OTU_1239,17.80821918,0.026702956,0,0,-1.573440662,NA
OTU_124,68.49315068,0.8612,75.47169811,0.011448292,-0.064895979,-1.941259307
OTU_1240,0,0,0,0,NA,NA
OTU_1241,41.09589041,0.263746397,9.433962264,0.002670012,-0.578813465,-2.573486852
OTU_1242,1.369863014,0.002626602,94.33962264,0.047830655,-2.580605729,-1.320293669
